epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,5815.19,1.51833,2.90117,1.6715,0.35437,0.45055,0.39016,0.19891,1.56859,5.06827,1.68345,0.0025255,0.0025255,0.0025255
153,5851.25,1.47988,2.73042,1.65476,0.52651,0.36179,0.38727,0.1994,1.58943,5.48215,1.69018,0.002476,0.002476,0.002476
154,5887.66,1.50925,2.74626,1.66166,0.46546,0.39508,0.39809,0.20219,1.59464,5.55194,1.70123,0.0024265,0.0024265,0.0024265
155,5923.77,1.51813,2.83118,1.67448,0.45797,0.37699,0.37641,0.18924,1.60284,5.30448,1.70136,0.002377,0.002377,0.002377
156,5960.21,1.48927,2.7428,1.64792,0.38261,0.50158,0.39282,0.19776,1.60655,5.43389,1.70137,0.0023275,0.0023275,0.0023275
157,5996.48,1.48214,2.78662,1.6276,0.38573,0.4803,0.38681,0.1971,1.60051,5.4692,1.69815,0.002278,0.002278,0.002278
158,6032.49,1.4848,2.69945,1.61263,0.42105,0.46191,0.37633,0.19189,1.60033,5.58839,1.71166,0.0022285,0.0022285,0.0022285
159,6068.59,1.47786,2.92423,1.63471,0.3611,0.44058,0.36879,0.18766,1.60926,5.49298,1.70566,0.002179,0.002179,0.002179
160,6104.73,1.44038,2.69134,1.59424,0.46604,0.36215,0.36336,0.18502,1.60647,5.28386,1.70436,0.0021295,0.0021295,0.0021295
161,6140.9,1.44322,2.66703,1.62086,0.34501,0.46011,0.36742,0.183,1.63518,5.43238,1.72425,0.00208,0.00208,0.00208
162,6177.38,1.43457,2.566,1.60247,0.40179,0.40861,0.36918,0.1874,1.62963,5.46103,1.71456,0.0020305,0.0020305,0.0020305
163,6213.67,1.46107,2.67664,1.61545,0.44371,0.37458,0.37548,0.19391,1.59877,5.45646,1.6904,0.001981,0.001981,0.001981
164,6250.23,1.43716,2.63428,1.59138,0.42411,0.39129,0.37704,0.19113,1.59791,5.4011,1.69313,0.0019315,0.0019315,0.0019315
165,6286.71,1.41693,2.54886,1.57227,0.41326,0.39859,0.36977,0.19184,1.58817,5.35925,1.69254,0.001882,0.001882,0.001882
166,6322.54,1.40789,2.54799,1.57359,0.53156,0.33162,0.3641,0.1929,1.58862,5.30083,1.69034,0.0018325,0.0018325,0.0018325
167,6358.42,1.43669,2.50566,1.60821,0.36689,0.4193,0.35703,0.18787,1.60238,5.30105,1.69901,0.001783,0.001783,0.001783
168,6394.67,1.42686,2.5374,1.58447,0.3949,0.39694,0.36219,0.18707,1.59759,5.28289,1.69788,0.0017335,0.0017335,0.0017335
169,6430.91,1.3995,2.40394,1.56681,0.45746,0.34333,0.36017,0.18695,1.60504,5.45049,1.70077,0.001684,0.001684,0.001684
170,6467.3,1.41846,2.47503,1.56735,0.38248,0.39977,0.36002,0.19045,1.59878,5.27816,1.69743,0.0016345,0.0016345,0.0016345
171,6502.97,1.39442,2.48724,1.58776,0.53915,0.31709,0.35166,0.18714,1.58219,5.36758,1.6943,0.001585,0.001585,0.001585
172,6539.46,1.39314,2.45415,1.57157,0.42939,0.3735,0.35496,0.18901,1.57388,5.32318,1.68622,0.0015355,0.0015355,0.0015355
173,6576.44,1.38815,2.39038,1.56796,0.47368,0.34333,0.35817,0.18784,1.58485,5.34494,1.69423,0.001486,0.001486,0.001486
174,6612.38,1.35546,2.43105,1.54996,0.49058,0.35397,0.36279,0.19011,1.59806,5.41406,1.70305,0.0014365,0.0014365,0.0014365
175,6648.9,1.36801,2.37371,1.53166,0.44552,0.3735,0.37124,0.19515,1.59839,5.35866,1.7111,0.001387,0.001387,0.001387
176,6685.09,1.3688,2.36431,1.55096,0.40243,0.40896,0.36527,0.19276,1.61642,5.26035,1.72567,0.0013375,0.0013375,0.0013375
177,6721.43,1.32596,2.31376,1.53433,0.40872,0.43484,0.36799,0.19709,1.61883,5.46092,1.72171,0.001288,0.001288,0.001288
178,6757.98,1.34402,2.33803,1.53654,0.4743,0.36569,0.36953,0.19738,1.60314,5.31706,1.70691,0.0012385,0.0012385,0.0012385
179,6794.09,1.34969,2.23274,1.54083,0.50953,0.37633,0.36786,0.19145,1.60637,5.34211,1.7079,0.001189,0.001189,0.001189
180,6830.82,1.33803,2.27363,1.53185,0.41115,0.40933,0.37352,0.19553,1.58222,5.26343,1.69217,0.0011395,0.0011395,0.0011395
181,6867.12,1.34779,2.26613,1.51665,0.40744,0.4434,0.3775,0.19612,1.57145,5.1327,1.68695,0.00109,0.00109,0.00109
182,6903.53,1.32757,2.27798,1.52584,0.38551,0.44731,0.37242,0.19648,1.57562,5.15954,1.68522,0.0010405,0.0010405,0.0010405
